city,price_bus,price_train,stops_bus,stops_train,density,hhsize,homeown,d_ib,d_it
nr_27,5.98,0.0,30,0,4.38,2,1,1,0
nr_28,3.94,0.0,18,0,1.72,3,1,0,0
nr_29,5.47,0.0,33,0,5.14,4,1,1,0
nr_30,4.5,0.0,20,0,2.26,5,0,0,0
nr_1,6.49,0.0,36,0,5.3,1,1,1,0
nr_2,8.44,0.0,49,0,7.7,3,1,0,0
nr_3,5.54,0.0,32,0,4.35,1,1,0,0
nr_4,7.99,0.0,44,0,6.29,4,1,0,0
nr_5,4.97,0.0,27,0,4.07,4,1,0,0
nr_6,3.23,0.0,18,0,2.43,2,1,0,0
nr_7,3.72,0.0,17,0,1.87,2,1,0,0
nr_8,8.16,0.0,50,0,7.32,3,1,0,0
nr_9,4.68,0.0,22,0,2.34,2,0,0,0
nr_10,6.87,0.0,39,0,5.53,6,0,0,0
nr_11,3.78,0.0,18,0,2.07,3,1,0,0
nr_12,8.8,0.0,51,0,7.39,4,1,0,0
nr_13,4.38,0.0,24,0,2.84,1,1,1,0
nr_14,7.54,0.0,44,0,6.95,3,1,0,0
nr_15,8.79,0.0,51,0,7.42,4,1,0,0
nr_16,5.67,0.0,31,0,4.47,4,1,0,0
nr_17,7.08,0.0,41,0,6.23,1,1,0,0
nr_18,6.0,0.0,34,0,4.79,2,1,0,0
nr_19,3.07,0.0,12,0,1.15,5,1,0,0
nr_20,3.4,0.0,16,0,1.47,5,1,0,0
nr_21,7.82,0.0,45,0,6.15,4,1,0,0
nr_22,3.39,0.0,16,0,1.45,2,1,0,0
nr_23,4.65,0.0,27,0,3.93,5,0,0,0
nr_24,3.84,0.0,16,0,1.95,3,1,0,0
nr_25,8.17,0.0,50,0,7.14,4,1,1,0
nr_26,4.32,0.0,25,0,3.0,4,1,0,0
nr_27,5.98,0.0,30,0,4.38,3,1,0,0
nr_28,3.94,0.0,18,0,1.72,1,1,0,0
nr_29,5.47,0.0,33,0,5.14,3,1,0,0
nr_30,4.5,0.0,20,0,2.26,4,1,0,0
nr_1,6.49,0.0,36,0,5.3,3,1,0,0
nr_2,8.44,0.0,49,0,7.7,3,1,0,0
nr_3,5.54,0.0,32,0,4.35,3,1,0,0
nr_4,7.99,0.0,44,0,6.29,4,1,0,0
nr_5,4.97,0.0,27,0,4.07,5,1,0,0
nr_6,3.23,0.0,18,0,2.43,4,1,0,0
nr_7,3.72,0.0,17,0,1.87,2,1,0,0
nr_8,8.16,0.0,50,0,7.32,4,1,1,0
nr_9,4.68,0.0,22,0,2.34,3,1,0,0
nr_10,6.87,0.0,39,0,5.53,3,0,0,0
nr_11,3.78,0.0,18,0,2.07,2,1,0,0
nr_12,8.8,0.0,51,0,7.39,5,1,0,0
nr_13,4.38,0.0,24,0,2.84,2,1,0,0
nr_14,7.54,0.0,44,0,6.95,5,0,0,0
nr_15,8.79,0.0,51,0,7.42,1,1,0,0
nr_16,5.67,0.0,31,0,4.47,3,0,0,0
nr_17,7.08,0.0,41,0,6.23,5,1,0,0
nr_18,6.0,0.0,34,0,4.79,1,0,0,0
nr_19,3.07,0.0,12,0,1.15,5,1,1,0
nr_20,3.4,0.0,16,0,1.47,2,1,0,0
nr_21,7.82,0.0,45,0,6.15,3,1,1,0
nr_22,3.39,0.0,16,0,1.45,3,0,0,0
nr_23,4.65,0.0,27,0,3.93,3,1,1,0
nr_24,3.84,0.0,16,0,1.95,4,1,0,0
nr_25,8.17,0.0,50,0,7.14,2,1,0,0
nr_26,4.32,0.0,25,0,3.0,3,1,0,0
nr_27,5.98,0.0,30,0,4.38,3,1,0,0
nr_28,3.94,0.0,18,0,1.72,3,1,0,0
nr_29,5.47,0.0,33,0,5.14,5,1,0,0
nr_30,4.5,0.0,20,0,2.26,3,1,0,0
nr_1,6.49,0.0,36,0,5.3,5,1,0,0
nr_2,8.44,0.0,49,0,7.7,6,1,0,0
nr_3,5.54,0.0,32,0,4.35,1,1,0,0
nr_4,7.99,0.0,44,0,6.29,2,1,0,0
nr_5,4.97,0.0,27,0,4.07,4,1,0,0
nr_6,3.23,0.0,18,0,2.43,5,1,0,0
nr_7,3.72,0.0,17,0,1.87,2,0,0,0
nr_8,8.16,0.0,50,0,7.32,4,1,0,0
nr_9,4.68,0.0,22,0,2.34,2,0,0,0
nr_10,6.87,0.0,39,0,5.53,1,1,0,0
nr_11,3.78,0.0,18,0,2.07,2,1,0,0
nr_12,8.8,0.0,51,0,7.39,5,1,0,0
nr_13,4.38,0.0,24,0,2.84,2,0,0,0
nr_14,7.54,0.0,44,0,6.95,2,1,0,0
nr_15,8.79,0.0,51,0,7.42,3,1,0,0
nr_16,5.67,0.0,31,0,4.47,5,1,0,0
nr_17,7.08,0.0,41,0,6.23,1,1,0,0
nr_18,6.0,0.0,34,0,4.79,2,1,0,0
nr_19,3.07,0.0,12,0,1.15,4,0,0,0
nr_20,3.4,0.0,16,0,1.47,3,0,0,0
nr_21,7.82,0.0,45,0,6.15,3,1,0,0
nr_22,3.39,0.0,16,0,1.45,2,1,0,0
nr_23,4.65,0.0,27,0,3.93,3,1,0,0
nr_24,3.84,0.0,16,0,1.95,3,1,0,0
nr_25,8.17,0.0,50,0,7.14,4,1,0,0
nr_26,4.32,0.0,25,0,3.0,3,1,0,0
nr_27,5.98,0.0,30,0,4.38,3,1,0,0
nr_28,3.94,0.0,18,0,1.72,2,1,0,0
nr_29,5.47,0.0,33,0,5.14,3,0,0,0
nr_30,4.5,0.0,20,0,2.26,4,1,0,0
nr_1,6.49,0.0,36,0,5.3,3,0,0,0
nr_2,8.44,0.0,49,0,7.7,8,0,0,0
nr_3,5.54,0.0,32,0,4.35,1,1,0,0
nr_4,7.99,0.0,44,0,6.29,6,1,0,0
nr_5,4.97,0.0,27,0,4.07,1,1,0,0
nr_6,3.23,0.0,18,0,2.43,5,1,0,0
nr_7,3.72,0.0,17,0,1.87,2,1,0,0
nr_8,8.16,0.0,50,0,7.32,1,0,1,0
nr_9,4.68,0.0,22,0,2.34,1,1,0,0
nr_10,6.87,0.0,39,0,5.53,4,1,0,0
nr_11,3.78,0.0,18,0,2.07,4,1,0,0
nr_12,8.8,0.0,51,0,7.39,1,1,0,0
nr_13,4.38,0.0,24,0,2.84,1,1,0,0
nr_14,7.54,0.0,44,0,6.95,1,1,0,0
nr_15,8.79,0.0,51,0,7.42,5,1,0,0
nr_16,5.67,0.0,31,0,4.47,4,1,0,0
nr_17,7.08,0.0,41,0,6.23,3,1,0,0
nr_18,6.0,0.0,34,0,4.79,2,1,0,0
nr_19,3.07,0.0,12,0,1.15,2,1,0,0
nr_20,3.4,0.0,16,0,1.47,3,1,0,0
nr_21,7.82,0.0,45,0,6.15,1,1,0,0
nr_22,3.39,0.0,16,0,1.45,3,0,0,0
nr_23,4.65,0.0,27,0,3.93,1,0,1,0
nr_24,3.84,0.0,16,0,1.95,3,1,0,0
nr_25,8.17,0.0,50,0,7.14,2,1,0,0
nr_26,4.32,0.0,25,0,3.0,1,1,0,0
nr_27,5.98,0.0,30,0,4.38,4,1,0,0
nr_28,3.94,0.0,18,0,1.72,3,0,0,0
nr_29,5.47,0.0,33,0,5.14,2,1,0,0
nr_30,4.5,0.0,20,0,2.26,5,1,0,0
nr_1,6.49,0.0,36,0,5.3,4,0,0,0
nr_2,8.44,0.0,49,0,7.7,5,0,0,0
nr_3,5.54,0.0,32,0,4.35,3,1,0,0
nr_4,7.99,0.0,44,0,6.29,4,0,0,0
nr_5,4.97,0.0,27,0,4.07,1,0,0,0
nr_6,3.23,0.0,18,0,2.43,3,1,0,0
nr_7,3.72,0.0,17,0,1.87,2,1,0,0
nr_8,8.16,0.0,50,0,7.32,5,1,0,0
nr_9,4.68,0.0,22,0,2.34,3,0,0,0
nr_10,6.87,0.0,39,0,5.53,1,1,0,0
nr_11,3.78,0.0,18,0,2.07,6,1,0,0
nr_12,8.8,0.0,51,0,7.39,3,1,0,0
nr_13,4.38,0.0,24,0,2.84,4,1,0,0
nr_14,7.54,0.0,44,0,6.95,2,1,0,0
nr_15,8.79,0.0,51,0,7.42,5,1,0,0
nr_16,5.67,0.0,31,0,4.47,3,1,0,0
nr_17,7.08,0.0,41,0,6.23,3,1,0,0
nr_18,6.0,0.0,34,0,4.79,2,1,1,0
nr_19,3.07,0.0,12,0,1.15,3,0,0,0
nr_20,3.4,0.0,16,0,1.47,3,1,0,0
nr_21,7.82,0.0,45,0,6.15,1,1,0,0
nr_22,3.39,0.0,16,0,1.45,6,1,0,0
nr_23,4.65,0.0,27,0,3.93,3,1,0,0
nr_24,3.84,0.0,16,0,1.95,2,1,0,0
nr_25,8.17,0.0,50,0,7.14,3,1,0,0
nr_26,4.32,0.0,25,0,3.0,5,1,1,0
nr_27,5.98,0.0,30,0,4.38,4,1,0,0
nr_28,3.94,0.0,18,0,1.72,4,0,0,0
nr_29,5.47,0.0,33,0,5.14,1,1,0,0
nr_30,4.5,0.0,20,0,2.26,2,1,0,0
nr_1,6.49,0.0,36,0,5.3,3,1,0,0
nr_2,8.44,0.0,49,0,7.7,4,1,0,0
nr_3,5.54,0.0,32,0,4.35,3,1,0,0
nr_4,7.99,0.0,44,0,6.29,2,1,0,0
nr_5,4.97,0.0,27,0,4.07,1,1,0,0
nr_6,3.23,0.0,18,0,2.43,2,0,0,0
nr_7,3.72,0.0,17,0,1.87,4,1,0,0
nr_8,8.16,0.0,50,0,7.32,1,0,0,0
nr_9,4.68,0.0,22,0,2.34,1,0,1,0
nr_10,6.87,0.0,39,0,5.53,2,0,0,0
nr_11,3.78,0.0,18,0,2.07,2,0,0,0
nr_12,8.8,0.0,51,0,7.39,2,1,0,0
nr_13,4.38,0.0,24,0,2.84,4,1,0,0
nr_14,7.54,0.0,44,0,6.95,5,1,0,0
nr_15,8.79,0.0,51,0,7.42,3,1,0,0
nr_16,5.67,0.0,31,0,4.47,1,1,1,0
nr_17,7.08,0.0,41,0,6.23,3,1,0,0
nr_18,6.0,0.0,34,0,4.79,1,1,0,0
nr_19,3.07,0.0,12,0,1.15,2,1,0,0
nr_20,3.4,0.0,16,0,1.47,2,1,0,0
nr_21,7.82,0.0,45,0,6.15,5,1,0,0
nr_22,3.39,0.0,16,0,1.45,3,1,0,0
nr_23,4.65,0.0,27,0,3.93,3,1,0,0
nr_24,3.84,0.0,16,0,1.95,2,1,0,0
nr_25,8.17,0.0,50,0,7.14,6,1,0,0
nr_26,4.32,0.0,25,0,3.0,5,1,0,0
nr_27,5.98,0.0,30,0,4.38,3,1,0,0
nr_28,3.94,0.0,18,0,1.72,2,1,0,0
nr_29,5.47,0.0,33,0,5.14,2,1,1,0
nr_30,4.5,0.0,20,0,2.26,2,1,0,0
nr_1,6.49,0.0,36,0,5.3,4,0,0,0
nr_2,8.44,0.0,49,0,7.7,2,1,0,0
nr_3,5.54,0.0,32,0,4.35,5,1,0,0
nr_4,7.99,0.0,44,0,6.29,1,1,1,0
nr_5,4.97,0.0,27,0,4.07,1,1,0,0
nr_6,3.23,0.0,18,0,2.43,2,1,0,0
nr_7,3.72,0.0,17,0,1.87,3,1,0,0
nr_8,8.16,0.0,50,0,7.32,3,1,0,0
nr_9,4.68,0.0,22,0,2.34,1,1,0,0
nr_10,6.87,0.0,39,0,5.53,1,1,0,0
nr_11,3.78,0.0,18,0,2.07,3,0,0,0
nr_12,8.8,0.0,51,0,7.39,3,1,0,0
nr_13,4.38,0.0,24,0,2.84,2,1,0,0
nr_14,7.54,0.0,44,0,6.95,3,1,0,0
nr_15,8.79,0.0,51,0,7.42,2,1,0,0
nr_16,5.67,0.0,31,0,4.47,3,1,0,0
nr_17,7.08,0.0,41,0,6.23,2,1,1,0
nr_18,6.0,0.0,34,0,4.79,4,1,0,0
nr_19,3.07,0.0,12,0,1.15,2,1,0,0
nr_20,3.4,0.0,16,0,1.47,2,1,0,0
nr_21,7.82,0.0,45,0,6.15,1,1,0,0
nr_22,3.39,0.0,16,0,1.45,3,0,0,0
nr_23,4.65,0.0,27,0,3.93,3,0,0,0
nr_24,3.84,0.0,16,0,1.95,2,1,0,0
nr_25,8.17,0.0,50,0,7.14,3,1,0,0
nr_26,4.32,0.0,25,0,3.0,4,0,0,0
nr_27,5.98,0.0,30,0,4.38,4,0,0,0
nr_28,3.94,0.0,18,0,1.72,4,1,0,0
nr_29,5.47,0.0,33,0,5.14,3,1,0,0
nr_30,4.5,0.0,20,0,2.26,4,1,0,0
nr_1,6.49,0.0,36,0,5.3,3,0,0,0
nr_2,8.44,0.0,49,0,7.7,3,1,0,0
nr_3,5.54,0.0,32,0,4.35,4,1,0,0
nr_4,7.99,0.0,44,0,6.29,2,1,0,0
nr_5,4.97,0.0,27,0,4.07,2,1,0,0
nr_6,3.23,0.0,18,0,2.43,2,0,0,0
nr_7,3.72,0.0,17,0,1.87,5,1,0,0
nr_8,8.16,0.0,50,0,7.32,3,1,0,0
nr_9,4.68,0.0,22,0,2.34,1,1,0,0
nr_10,6.87,0.0,39,0,5.53,3,1,1,0
nr_11,3.78,0.0,18,0,2.07,1,0,0,0
nr_12,8.8,0.0,51,0,7.39,3,1,0,0
nr_13,4.38,0.0,24,0,2.84,4,1,0,0
nr_14,7.54,0.0,44,0,6.95,1,1,1,0
nr_15,8.79,0.0,51,0,7.42,3,0,1,0
nr_16,5.67,0.0,31,0,4.47,3,1,0,0
nr_17,7.08,0.0,41,0,6.23,3,1,0,0
nr_18,6.0,0.0,34,0,4.79,2,1,1,0
nr_19,3.07,0.0,12,0,1.15,2,1,0,0
nr_20,3.4,0.0,16,0,1.47,3,1,0,0
nr_21,7.82,0.0,45,0,6.15,2,1,0,0
nr_22,3.39,0.0,16,0,1.45,1,0,0,0
nr_23,4.65,0.0,27,0,3.93,3,1,0,0
nr_24,3.84,0.0,16,0,1.95,3,1,0,0
nr_25,8.17,0.0,50,0,7.14,2,1,0,0
nr_26,4.32,0.0,25,0,3.0,2,1,0,0
nr_27,5.98,0.0,30,0,4.38,5,1,0,0
nr_28,3.94,0.0,18,0,1.72,4,1,0,0
nr_29,5.47,0.0,33,0,5.14,6,1,0,0
nr_30,4.5,0.0,20,0,2.26,5,0,0,0
nr_1,6.49,0.0,36,0,5.3,1,1,0,0
nr_2,8.44,0.0,49,0,7.7,4,1,0,0
nr_3,5.54,0.0,32,0,4.35,6,1,0,0
nr_4,7.99,0.0,44,0,6.29,5,1,0,0
nr_5,4.97,0.0,27,0,4.07,3,1,0,0
nr_6,3.23,0.0,18,0,2.43,4,1,0,0
nr_7,3.72,0.0,17,0,1.87,3,1,0,0
nr_8,8.16,0.0,50,0,7.32,1,1,0,0
nr_9,4.68,0.0,22,0,2.34,4,1,0,0
nr_10,6.87,0.0,39,0,5.53,4,1,0,0
nr_11,3.78,0.0,18,0,2.07,3,0,0,0
nr_12,8.8,0.0,51,0,7.39,4,0,0,0
nr_13,4.38,0.0,24,0,2.84,6,0,0,0
nr_14,7.54,0.0,44,0,6.95,2,1,0,0
nr_15,8.79,0.0,51,0,7.42,2,1,0,0
nr_16,5.67,0.0,31,0,4.47,4,1,0,0
nr_17,7.08,0.0,41,0,6.23,1,1,0,0
nr_18,6.0,0.0,34,0,4.79,3,1,0,0
nr_19,3.07,0.0,12,0,1.15,3,1,0,0
nr_20,3.4,0.0,16,0,1.47,5,1,0,0
nr_21,7.82,0.0,45,0,6.15,2,0,1,0
nr_22,3.39,0.0,16,0,1.45,2,1,0,0
nr_23,4.65,0.0,27,0,3.93,5,0,0,0
nr_24,3.84,0.0,16,0,1.95,3,1,0,0
nr_25,8.17,0.0,50,0,7.14,3,0,0,0
nr_26,4.32,0.0,25,0,3.0,2,1,0,0
nr_27,5.98,0.0,30,0,4.38,3,1,0,0
nr_28,3.94,0.0,18,0,1.72,2,1,0,0
nr_29,5.47,0.0,33,0,5.14,4,1,0,0
nr_30,4.5,0.0,20,0,2.26,3,0,0,0
nr_1,6.49,0.0,36,0,5.3,3,1,0,0
nr_2,8.44,0.0,49,0,7.7,4,1,1,0
nr_3,5.54,0.0,32,0,4.35,4,1,0,0
nr_4,7.99,0.0,44,0,6.29,3,1,0,0
nr_5,4.97,0.0,27,0,4.07,2,0,0,0
nr_6,3.23,0.0,18,0,2.43,4,1,0,0
nr_7,3.72,0.0,17,0,1.87,4,1,0,0
nr_8,8.16,0.0,50,0,7.32,4,1,1,0
nr_9,4.68,0.0,22,0,2.34,2,1,0,0
nr_10,6.87,0.0,39,0,5.53,1,0,0,0
nr_11,3.78,0.0,18,0,2.07,4,1,0,0
nr_12,8.8,0.0,51,0,7.39,2,0,0,0
nr_13,4.38,0.0,24,0,2.84,3,1,0,0
nr_14,7.54,0.0,44,0,6.95,1,1,0,0
nr_15,8.79,0.0,51,0,7.42,5,0,1,0
nr_16,5.67,0.0,31,0,4.47,2,1,0,0
nr_17,7.08,0.0,41,0,6.23,4,1,0,0
nr_18,6.0,0.0,34,0,4.79,4,0,0,0
nr_19,3.07,0.0,12,0,1.15,2,1,0,0
nr_20,3.4,0.0,16,0,1.47,2,1,1,0
nr_21,7.82,0.0,45,0,6.15,2,1,0,0
nr_22,3.39,0.0,16,0,1.45,4,0,0,0
nr_23,4.65,0.0,27,0,3.93,4,1,0,0
nr_24,3.84,0.0,16,0,1.95,2,1,0,0
nr_25,8.17,0.0,50,0,7.14,1,1,0,0
nr_26,4.32,0.0,25,0,3.0,3,1,0,0
nr_27,5.98,0.0,30,0,4.38,4,0,0,0
nr_28,3.94,0.0,18,0,1.72,3,1,0,0
nr_29,5.47,0.0,33,0,5.14,6,1,0,0
nr_30,4.5,0.0,20,0,2.26,2,1,0,0
nr_1,6.49,0.0,36,0,5.3,5,1,0,0
nr_2,8.44,0.0,49,0,7.7,1,0,0,0
nr_3,5.54,0.0,32,0,4.35,4,0,0,0
nr_4,7.99,0.0,44,0,6.29,4,1,0,0
nr_5,4.97,0.0,27,0,4.07,6,1,0,0
nr_6,3.23,0.0,18,0,2.43,5,1,0,0
nr_7,3.72,0.0,17,0,1.87,3,1,0,0
nr_8,8.16,0.0,50,0,7.32,3,1,0,0
nr_9,4.68,0.0,22,0,2.34,1,1,0,0
nr_10,6.87,0.0,39,0,5.53,4,1,0,0
nr_11,3.78,0.0,18,0,2.07,1,1,0,0
nr_12,8.8,0.0,51,0,7.39,2,0,0,0
nr_13,4.38,0.0,24,0,2.84,6,1,0,0
nr_14,7.54,0.0,44,0,6.95,5,1,0,0
nr_15,8.79,0.0,51,0,7.42,3,1,0,0
nr_16,5.67,0.0,31,0,4.47,2,1,0,0
nr_17,7.08,0.0,41,0,6.23,4,1,0,0
nr_18,6.0,0.0,34,0,4.79,2,1,0,0
nr_19,3.07,0.0,12,0,1.15,2,1,0,0
nr_20,3.4,0.0,16,0,1.47,3,1,0,0
nr_21,7.82,0.0,45,0,6.15,2,1,0,0
nr_22,3.39,0.0,16,0,1.45,5,1,0,0
nr_23,4.65,0.0,27,0,3.93,1,1,0,0
nr_24,3.84,0.0,16,0,1.95,1,1,0,0
nr_25,8.17,0.0,50,0,7.14,2,1,0,0
nr_26,4.32,0.0,25,0,3.0,1,1,0,0
nr_27,5.98,0.0,30,0,4.38,4,1,0,0
nr_28,3.94,0.0,18,0,1.72,9,0,0,0
nr_29,5.47,0.0,33,0,5.14,2,1,0,0
nr_30,4.5,0.0,20,0,2.26,3,1,0,0
nr_1,6.49,0.0,36,0,5.3,1,1,0,0
nr_2,8.44,0.0,49,0,7.7,2,1,1,0
nr_3,5.54,0.0,32,0,4.35,4,1,0,0
nr_4,7.99,0.0,44,0,6.29,3,1,0,0
nr_5,4.97,0.0,27,0,4.07,6,1,0,0
nr_6,3.23,0.0,18,0,2.43,3,0,0,0
nr_7,3.72,0.0,17,0,1.87,3,1,0,0
nr_8,8.16,0.0,50,0,7.32,4,1,0,0
nr_9,4.68,0.0,22,0,2.34,1,1,0,0
nr_10,6.87,0.0,39,0,5.53,3,0,0,0
nr_11,3.78,0.0,18,0,2.07,4,0,0,0
nr_12,8.8,0.0,51,0,7.39,1,1,0,0
nr_13,4.38,0.0,24,0,2.84,3,1,0,0
nr_14,7.54,0.0,44,0,6.95,1,1,0,0
nr_15,8.79,0.0,51,0,7.42,3,0,0,0
nr_16,5.67,0.0,31,0,4.47,2,1,0,0
nr_17,7.08,0.0,41,0,6.23,3,1,0,0
nr_18,6.0,0.0,34,0,4.79,3,1,0,0
nr_19,3.07,0.0,12,0,1.15,2,0,0,0
nr_20,3.4,0.0,16,0,1.47,1,1,0,0
nr_21,7.82,0.0,45,0,6.15,4,1,0,0
nr_22,3.39,0.0,16,0,1.45,4,1,0,0
nr_23,4.65,0.0,27,0,3.93,5,1,0,0
nr_24,3.84,0.0,16,0,1.95,1,0,0,0
nr_25,8.17,0.0,50,0,7.14,2,0,0,0
nr_26,4.32,0.0,25,0,3.0,3,1,0,0
nr_27,5.98,0.0,30,0,4.38,2,1,0,0
nr_28,3.94,0.0,18,0,1.72,1,0,0,0
nr_29,5.47,0.0,33,0,5.14,4,0,1,0
nr_30,4.5,0.0,20,0,2.26,1,1,0,0
nr_1,6.49,0.0,36,0,5.3,2,0,0,0
nr_2,8.44,0.0,49,0,7.7,3,1,0,0
nr_3,5.54,0.0,32,0,4.35,5,0,0,0
nr_4,7.99,0.0,44,0,6.29,5,1,0,0
nr_5,4.97,0.0,27,0,4.07,3,1,0,0
nr_6,3.23,0.0,18,0,2.43,3,1,0,0
nr_7,3.72,0.0,17,0,1.87,2,0,0,0
nr_8,8.16,0.0,50,0,7.32,2,0,0,0
nr_9,4.68,0.0,22,0,2.34,3,0,0,0
nr_10,6.87,0.0,39,0,5.53,2,1,0,0
nr_11,3.78,0.0,18,0,2.07,3,1,0,0
nr_12,8.8,0.0,51,0,7.39,2,1,0,0
nr_13,4.38,0.0,24,0,2.84,3,0,0,0
nr_14,7.54,0.0,44,0,6.95,2,1,0,0
nr_15,8.79,0.0,51,0,7.42,3,1,0,0
nr_16,5.67,0.0,31,0,4.47,2,1,0,0
nr_17,7.08,0.0,41,0,6.23,3,0,0,0
nr_18,6.0,0.0,34,0,4.79,6,0,0,0
nr_19,3.07,0.0,12,0,1.15,3,1,0,0
nr_20,3.4,0.0,16,0,1.47,2,1,0,0
nr_21,7.82,0.0,45,0,6.15,4,0,0,0
nr_22,3.39,0.0,16,0,1.45,3,1,0,0
nr_23,4.65,0.0,27,0,3.93,2,0,0,0
nr_24,3.84,0.0,16,0,1.95,5,1,0,0
nr_25,8.17,0.0,50,0,7.14,2,1,1,0
nr_26,4.32,0.0,25,0,3.0,1,0,0,0
nr_27,5.98,0.0,30,0,4.38,3,1,0,0
nr_28,3.94,0.0,18,0,1.72,2,1,0,0
nr_29,5.47,0.0,33,0,5.14,2,1,0,0
nr_30,4.5,0.0,20,0,2.26,2,1,0,0
nr_1,6.49,0.0,36,0,5.3,5,0,0,0
nr_2,8.44,0.0,49,0,7.7,3,1,0,0
nr_3,5.54,0.0,32,0,4.35,2,0,0,0
nr_4,7.99,0.0,44,0,6.29,6,1,0,0
nr_5,4.97,0.0,27,0,4.07,1,1,0,0
nr_6,3.23,0.0,18,0,2.43,2,1,0,0
nr_7,3.72,0.0,17,0,1.87,3,1,0,0
nr_8,8.16,0.0,50,0,7.32,5,0,0,0
nr_9,4.68,0.0,22,0,2.34,1,0,0,0
nr_10,6.87,0.0,39,0,5.53,4,1,0,0
nr_11,3.78,0.0,18,0,2.07,2,1,0,0
nr_12,8.8,0.0,51,0,7.39,4,1,0,0
nr_13,4.38,0.0,24,0,2.84,6,1,0,0
nr_14,7.54,0.0,44,0,6.95,3,1,0,0
nr_15,8.79,0.0,51,0,7.42,3,1,0,0
nr_16,5.67,0.0,31,0,4.47,2,0,0,0
nr_17,7.08,0.0,41,0,6.23,2,1,0,0
nr_18,6.0,0.0,34,0,4.79,2,1,0,0
nr_19,3.07,0.0,12,0,1.15,3,1,0,0
nr_20,3.4,0.0,16,0,1.47,2,1,0,0
nr_21,7.82,0.0,45,0,6.15,4,1,0,0
nr_22,3.39,0.0,16,0,1.45,3,1,0,0
nr_23,4.65,0.0,27,0,3.93,3,0,0,0
nr_24,3.84,0.0,16,0,1.95,2,1,0,0
nr_25,8.17,0.0,50,0,7.14,4,1,0,0
nr_26,4.32,0.0,25,0,3.0,2,0,0,0
nr_27,5.98,0.0,30,0,4.38,5,0,0,0
nr_28,3.94,0.0,18,0,1.72,2,1,0,0
nr_29,5.47,0.0,33,0,5.14,4,0,1,0
nr_30,4.5,0.0,20,0,2.26,2,1,0,0
nr_1,6.49,0.0,36,0,5.3,2,1,0,0
nr_2,8.44,0.0,49,0,7.7,7,0,0,0
nr_3,5.54,0.0,32,0,4.35,4,1,0,0
nr_4,7.99,0.0,44,0,6.29,2,0,0,0
nr_5,4.97,0.0,27,0,4.07,2,1,0,0
nr_6,3.23,0.0,18,0,2.43,2,1,0,0
nr_7,3.72,0.0,17,0,1.87,3,1,0,0
nr_8,8.16,0.0,50,0,7.32,2,1,0,0
nr_9,4.68,0.0,22,0,2.34,1,1,0,0
nr_10,6.87,0.0,39,0,5.53,2,1,0,0
nr_11,3.78,0.0,18,0,2.07,4,0,0,0
nr_12,8.8,0.0,51,0,7.39,3,1,0,0
nr_13,4.38,0.0,24,0,2.84,3,1,0,0
nr_14,7.54,0.0,44,0,6.95,4,1,0,0
nr_15,8.79,0.0,51,0,7.42,6,1,1,0
nr_16,5.67,0.0,31,0,4.47,3,1,0,0
nr_17,7.08,0.0,41,0,6.23,2,0,0,0
nr_18,6.0,0.0,34,0,4.79,6,0,0,0
nr_19,3.07,0.0,12,0,1.15,2,1,0,0
nr_20,3.4,0.0,16,0,1.47,4,0,0,0
nr_21,7.82,0.0,45,0,6.15,2,1,0,0
nr_22,3.39,0.0,16,0,1.45,2,1,0,0
nr_23,4.65,0.0,27,0,3.93,3,1,0,0
nr_24,3.84,0.0,16,0,1.95,2,1,0,0
nr_25,8.17,0.0,50,0,7.14,2,1,0,0
nr_26,4.32,0.0,25,0,3.0,2,0,0,0
nr_27,5.98,0.0,30,0,4.38,4,1,0,0
nr_28,3.94,0.0,18,0,1.72,2,0,0,0
nr_29,5.47,0.0,33,0,5.14,2,1,0,0
nr_30,4.5,0.0,20,0,2.26,6,0,0,0
nr_1,6.49,0.0,36,0,5.3,3,0,1,0
nr_2,8.44,0.0,49,0,7.7,4,1,0,0
nr_3,5.54,0.0,32,0,4.35,2,1,0,0
nr_4,7.99,0.0,44,0,6.29,2,1,0,0
nr_5,4.97,0.0,27,0,4.07,2,1,0,0
nr_6,3.23,0.0,18,0,2.43,4,1,0,0
nr_7,3.72,0.0,17,0,1.87,3,1,0,0
nr_8,8.16,0.0,50,0,7.32,3,1,0,0
nr_9,4.68,0.0,22,0,2.34,1,1,0,0
nr_10,6.87,0.0,39,0,5.53,3,0,1,0
nr_11,3.78,0.0,18,0,2.07,5,1,0,0
nr_12,8.8,0.0,51,0,7.39,5,1,0,0
nr_13,4.38,0.0,24,0,2.84,1,1,0,0
nr_14,7.54,0.0,44,0,6.95,1,1,0,0
nr_15,8.79,0.0,51,0,7.42,4,0,0,0
nr_16,5.67,0.0,31,0,4.47,4,0,0,0
nr_17,7.08,0.0,41,0,6.23,2,0,0,0
nr_18,6.0,0.0,34,0,4.79,2,0,0,0
nr_19,3.07,0.0,12,0,1.15,4,1,0,0
nr_20,3.4,0.0,16,0,1.47,7,0,0,0
nr_21,7.82,0.0,45,0,6.15,7,1,0,0
nr_22,3.39,0.0,16,0,1.45,1,1,0,0
nr_23,4.65,0.0,27,0,3.93,4,1,0,0
nr_24,3.84,0.0,16,0,1.95,3,1,0,0
nr_25,8.17,0.0,50,0,7.14,1,0,0,0
nr_26,4.32,0.0,25,0,3.0,2,1,0,0
nr_27,5.98,0.0,30,0,4.38,3,0,0,0
